id_o_nombre,ruta_anterior,ruta_nueva,webp_existe,estado
LattafaHisConfession,img/productos/LattafaHisConfession.png,img/productos/LattafaHisConfession.webp,TRUE,OK_CONVERTIDO
LattafaHisConfessionDECANTS,img/productos/LattafaHisConfessionDECANTS.png,img/productos/LattafaHisConfessionDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaHonorandGlory,img/productos/LattafaHonorandGlory.png,img/productos/LattafaHonorandGlory.webp,TRUE,OK_CONVERTIDO
LattafaHonorandGloryDECANTS,img/productos/LattafaHonorandGloryDECANTS.png,img/productos/LattafaHonorandGloryDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaIshqAlShuyukhSilver,img/productos/LattafaIshqAlShuyukhSilver.png,img/productos/LattafaIshqAlShuyukhSilver.webp,TRUE,OK_CONVERTIDO
LattafaIshqAlShuyukhSilverDECANTS,img/productos/LattafaIshqAlShuyukhSilverDECANTS.png,img/productos/LattafaIshqAlShuyukhSilverDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaJasoor,img/productos/LattafaJasoor.png,img/productos/LattafaJasoor.webp,TRUE,OK_CONVERTIDO
LattafaJasoorDECANTS,img/productos/LattafaJasoorDECANTS.png,img/productos/LattafaJasoorDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaKhamrah,img/productos/LattafaKhamrah.png,img/productos/LattafaKhamrah.webp,TRUE,OK_CONVERTIDO
LattafaKhamrahDECANTS,img/productos/LattafaKhamrahDECANTS.png,img/productos/LattafaKhamrahDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaKhamrahQahwa,img/productos/LattafaKhamrahQahwa.png,img/productos/LattafaKhamrahQahwa.webp,TRUE,OK_CONVERTIDO
LattafaKhamrahQahwaDECANTS,img/productos/LattafaKhamrahQahwaDECANTS.png,img/productos/LattafaKhamrahQahwaDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaNadjiaIntense,img/productos/LattafaNadjiaIntense.png,img/productos/LattafaNadjiaIntense.webp,TRUE,OK_CONVERTIDO
LattafaNadjiaIntenseDECANTS,img/productos/LattafaNadjiaIntenseDECANTS.png,img/productos/LattafaNadjiaIntenseDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaQaedAlFursan,img/productos/LattafaQaedAlFursan.png,img/productos/LattafaQaedAlFursan.webp,TRUE,OK_CONVERTIDO
LattafaQaedAlFursanDECANTS,img/productos/LattafaQaedAlFursanDECANTS.png,img/productos/LattafaQaedAlFursanDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaSublime,img/productos/LattafaSublime.png,img/productos/LattafaSublime.webp,TRUE,OK_CONVERTIDO
LattafaSublimeDECANTS,img/productos/LattafaSublimeDECANTS.png,img/productos/LattafaSublimeDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaTheKingdom,img/productos/LattafaTheKingdom.png,img/productos/LattafaTheKingdom.webp,TRUE,OK_CONVERTIDO
LattafaTheKingdomDECANTS,img/productos/LattafaTheKingdomDECANTS.png,img/productos/LattafaTheKingdomDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaVintageRadio,img/productos/LattafaVintageRadio.png,img/productos/LattafaVintageRadio.webp,TRUE,OK_CONVERTIDO
LattafaVintageRadioDECANTS,img/productos/LattafaVintageRadioDECANTS.png,img/productos/LattafaVintageRadioDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaYaraCandy,img/productos/LattafaYaraCandy.png,img/productos/LattafaYaraCandy.webp,TRUE,OK_CONVERTIDO
LattafaYaraCandyDECANTS,img/productos/LattafaYaraCandyDECANTS.png,img/productos/LattafaYaraCandyDECANTS.webp,TRUE,OK_CONVERTIDO
LattafaYaraPink,img/productos/LattafaYaraPink.png,img/productos/LattafaYaraPink.webp,TRUE,OK_CONVERTIDO
LattafaYaraPinkDECANTS,img/productos/LattafaYaraPinkDECANTS.png,img/productos/LattafaYaraPinkDECANTS.webp,TRUE,OK_CONVERTIDO
MandarinSkyElixir,img/productos/MandarinSkyElixir.png,img/productos/MandarinSkyElixir.webp,TRUE,OK_CONVERTIDO
MandarinSkyElixirDECANTS,img/productos/MandarinSkyElixirDECANTS.png,img/productos/MandarinSkyElixirDECANTS.webp,TRUE,OK_CONVERTIDO
RasasiHawas FireDECANTS,img/productos/RasasiHawas FireDECANTS.png,img/productos/RasasiHawas FireDECANTS.webp,TRUE,OK_CONVERTIDO
RasasiHawasFire,img/productos/RasasiHawasFire.png,img/productos/RasasiHawasFire.webp,TRUE,OK_CONVERTIDO
RasasiHawasForHim,img/productos/RasasiHawasForHim.png,img/productos/RasasiHawasForHim.webp,TRUE,OK_CONVERTIDO
RasasiHawasForHimDECANTS,img/productos/RasasiHawasForHimDECANTS.png,img/productos/RasasiHawasForHimDECANTS.webp,TRUE,OK_CONVERTIDO
RasasiHawasIce,img/productos/RasasiHawasIce.png,img/productos/RasasiHawasIce.webp,TRUE,OK_CONVERTIDO
RasasiHawasIceDECANTS,img/productos/RasasiHawasIceDECANTS.png,img/productos/RasasiHawasIceDECANTS.webp,TRUE,OK_CONVERTIDO
SceptreMalachite,img/productos/SceptreMalachite.png,img/productos/SceptreMalachite.webp,TRUE,OK_CONVERTIDO
SceptreMalachiteDECANTS,img/productos/SceptreMalachiteDECANTS.png,img/productos/SceptreMalachiteDECANTS.webp,TRUE,OK_CONVERTIDO
SupremacyNotOnlyIntense DECANTS,img/productos/SupremacyNotOnlyIntense DECANTS.png,img/productos/SupremacyNotOnlyIntense DECANTS.webp,TRUE,OK_CONVERTIDO
SupremacyNotOnlyIntense,img/productos/SupremacyNotOnlyIntense.png,img/productos/SupremacyNotOnlyIntense.webp,TRUE,OK_CONVERTIDO
gomango,img/productos/gomango.png,img/productos/gomango.webp,TRUE,OK_CONVERTIDO
gomangoDECANTS,img/productos/gomangoDECANTS.png,img/productos/gomangoDECANTS.webp,TRUE,OK_CONVERTIDO
valentinobir,img/productos/valentinobir.png,img/productos/valentinobir.webp,TRUE,OK_CONVERTIDO
valentinobirDECANTS,img/productos/valentinobirDECANTS.png,img/productos/valentinobirDECANTS.webp,TRUE,OK_CONVERTIDO
